9747	
2170	Lancashire
2128	West Midlands
1917	West Yorkshire
1736	Kent
1579	Essex
1348	Surrey
1192	Cheshire
1142	South Yorkshire
1088	Merseyside
1067	Hampshire
924	Devon
909	Hertfordshire
900	Nottinghamshire
832	Staffordshire
811	Tyne and Wear
783	Lincolnshire
706	Norfolk
704	Derbyshire
681	Leicestershire
652	North Yorkshire
635	Somerset
628	Berkshire
608	Northamptonshire
605	Wiltshire
589	Cambridgeshire
584	Buckinghamshire
568	Suffolk
557	Oxfordshire
527	Gloucestershire
513	Dorset
501	West Sussex
501	East Sussex
494	Bedfordshire
491	Cumbria
469	Worcestershire
457	Warwickshire
422	Cornwall
408	Shropshire
350	County Durham
257	Northumberland
239	Greater Manchester
210	Middlesex
129	Herefordshire
86	Isle of Wight
40	North East Lincolnshire
35	Bristol
33	Rutland
32	Cleveland
28	Channel Islands
25	North Lincolnshire
24	South Gloucestershire
22	Not applicable
22	Cardiff (Caerdydd)
19	Powys
17	Teesside
15	Swansea (Abertawe)
15	Avon
13	Newport (Casnewydd)
13	East Yorkshire
11	Bridgend (Pen-y-bont ar Ogwr)
9	Monmouthshire (Sir Fynwy)
9	Flintshire (Sir y Fflint)
8	Wrexham (Wrecsam)
8	Gwynedd
8	Carmarthenshire (Sir Gaerfyrddin)
8	Caerphilly (Caerffili)
6	Torfaen (Tor-faen)
6	Merthyr Tydfil (Merthyr Tudful)
6	Ceredigion
5	Neath Port Talbot (Castell-nedd Porth Talbot)
5	Conwy
4	Pembrokeshire (Sir Benfro)
4	Denbighshire (Sir Ddinbych)
4	Clwyd
4	Blaenau Gwent
3	Vale of Glamorgan (Bro Morgannwg)
2	Rhondda Cynon Taff (Rhondda Cynon Taf)
2	Isle of Anglesey (Ynys Mon)
1	Isles of Scilly
1	GIBRALTAR
