16574	Community School
5113	Voluntary Aided School
3590	Other Independent School
3336	Academy Converter
3142	Voluntary Controlled School
2368	Welsh Establishment
2032	Foundation School
1626	Community Special School
1611	Academy Sponsor Led
868	Pupil Referral Unit
803	Other Independent Special School
613	LA Nursery School
484	Further Education
240	Free Schools
231	Miscellaneous
153	Offshore Schools
141	Higher Education Institutions
137	Academy Special Converter
107	British Schools Overseas
104	Foundation Special School
94	Non-Maintained Special School
83	Service Childrens Education
76	Special Post 16 Institution
59	Sixth Form Centres
48	Secure Units
42	Studio Schools
41	University Technical College
34	Academy Special Sponsor Led
33	Free Schools - Alternative Provision
32	Academy Alternative Provision Converter
19	Free Schools Special
16	Free Schools - 16-19
15	City Technology College
14	Academy Alternative Provision Sponsor Led
3	Academy 16-19 Converter
1	Institution funded by other Government Department
1	Academy 16-19 Sponsor Led
